CUSTOMER_ID,CHURN_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
C100261,0.8532327627814715,LEAVE,YES,50.5
C100267,0.7109180057121625,LEAVE,YES,82.5
C100275,0.7207529267805247,LEAVE,YES,94.5
C100285,0.863117915962758,LEAVE,YES,53.0
C100291,0.7701070294771355,LEAVE,YES,72.5
C100294,0.6239331502902074,LEAVE,YES,90.5
C100296,0.752277050389917,LEAVE,YES,108.5
C100301,0.8261971309217643,LEAVE,YES,62.5
C100302,0.6431529659597981,LEAVE,YES,80.5
C100303,0.8077681801759838,LEAVE,YES,50.0
C100304,0.8167865821903125,LEAVE,YES,84.0
C100310,0.7927337364428008,LEAVE,YES,51.5
C100311,0.8365160794404471,LEAVE,YES,72.5
C100312,0.8518576988122221,LEAVE,YES,58.5
C100315,0.3733056323532746,STAY,NO,0.0
C100318,0.7865201893277128,LEAVE,YES,98.0
C100320,0.6313155689274982,LEAVE,YES,68.0
C100324,0.47429211362503565,STAY,NO,0.0
C100329,0.5202657208892217,LEAVE,YES,99.77606710762579
C100331,0.6025970205309216,LEAVE,YES,53.0
C100338,0.5670633337171098,LEAVE,YES,76.5
C100339,0.4213649850153812,STAY,NO,0.0
C100340,0.9084540763806501,LEAVE,YES,65.5
C100341,0.87039031290261,LEAVE,YES,104.0
C100355,0.255953942498771,STAY,NO,0.0
C100356,0.9599871015772712,LEAVE,YES,70.5
C100358,0.7634057939094885,LEAVE,YES,66.5
C100362,0.6417357347891183,LEAVE,YES,70.0
C100376,0.8244597775729783,LEAVE,YES,84.0
C100392,0.3114149099124423,STAY,NO,0.0
C100396,0.8791971877006689,LEAVE,YES,81.5
C100401,0.1581406525026403,STAY,NO,0.0
C100408,0.8369514640659155,LEAVE,YES,95.0
C100412,0.5585280348202953,LEAVE,YES,74.8962612926849
C100416,0.937960458006745,LEAVE,YES,42.5
C100418,0.8312475404250613,LEAVE,YES,113.0
C100419,0.24300460442554195,STAY,NO,0.0
C100424,0.7806640833419634,LEAVE,YES,57.0
C100427,0.8712525734048788,LEAVE,YES,79.5
C100432,0.7371928872503217,LEAVE,YES,105.5
C100436,0.2290210370163741,STAY,NO,0.0
C100438,0.860495751517806,LEAVE,YES,107.0
C100442,0.3956096322167985,STAY,NO,0.0
C100443,0.7591215103758346,LEAVE,YES,53.5
C100445,0.6051115415078073,LEAVE,YES,61.0
C100449,0.8578139097423935,LEAVE,YES,68.5
C100451,0.868998958209195,LEAVE,YES,77.0
C100454,0.5744907820774051,LEAVE,YES,66.40727401629488
C100457,0.28985070683051883,STAY,NO,0.0
C100458,0.9447324936573049,LEAVE,YES,78.0
C100467,0.9768663061287693,LEAVE,YES,64.0
C100468,0.421245381221331,STAY,NO,0.0
C100470,0.5051817696969949,LEAVE,YES,43.04408581818446
C100480,0.49523710153793243,STAY,NO,0.0
C100487,0.8061683266060767,LEAVE,YES,110.5
C100490,0.4146962903961383,STAY,NO,0.0
C100491,0.9098901254376507,LEAVE,YES,69.0
C100506,0.8266692468051356,LEAVE,YES,72.0
C100512,0.8246807838704712,LEAVE,YES,56.0
C100515,0.8689221986546146,LEAVE,YES,76.5
C100517,0.6594008987862536,LEAVE,YES,82.5
C100524,0.20023280041968555,STAY,NO,0.0
C100532,0.8810466644496545,LEAVE,YES,38.5
C100534,0.259227784598969,STAY,NO,0.0
C100537,0.760645062066665,LEAVE,YES,104.5
C100538,0.8219956611703726,LEAVE,YES,66.0
C100546,0.6293122625894395,LEAVE,YES,52.5
C100554,0.9299943772749945,LEAVE,YES,93.5
C100557,0.6435958635498108,LEAVE,YES,61.5
C100561,0.6043682115714366,LEAVE,YES,75.5
C100567,0.164410458063147,STAY,NO,0.0
C100568,0.7159926084346948,LEAVE,YES,42.0
C100570,0.7831322325555408,LEAVE,YES,149.5
C100574,0.7194479130284768,LEAVE,YES,84.5
C100576,0.4848121825395026,STAY,NO,0.0
C100578,0.8738910160521342,LEAVE,YES,88.5
C100580,0.6465268051905523,LEAVE,YES,51.5
C100585,0.6710379477011355,LEAVE,YES,46.5
C100587,0.3138271903567398,STAY,NO,0.0
C100591,0.823821159854657,LEAVE,YES,37.0
C100595,0.8616052063720344,LEAVE,YES,63.0
C100596,0.4664887197701014,STAY,NO,0.0
C100598,0.5037612387741273,LEAVE,YES,49.44382617534702
C100599,0.8490954337262,LEAVE,YES,73.0
C100609,0.29077178280322513,STAY,NO,0.0
C100611,0.2859717443038965,STAY,NO,0.0
C100614,0.6948526732562951,LEAVE,YES,34.5
C100616,0.9302069172065868,LEAVE,YES,104.0
C100617,0.8602538121022568,LEAVE,YES,48.5
C100623,0.8062038262043075,LEAVE,YES,125.5
C100630,0.3070303857468145,STAY,NO,0.0
C100631,0.42670388832219946,STAY,NO,0.0
C100632,0.6383025158445527,LEAVE,YES,82.5
C100634,0.8502648206672486,LEAVE,YES,69.0
C100643,0.44687680219973525,STAY,NO,0.0
C100644,0.3581992739156572,STAY,NO,0.0
C100647,0.7188029108048137,LEAVE,YES,49.0
C100649,0.390964471920276,STAY,NO,0.0
C100651,0.6510105254325252,LEAVE,YES,67.5
C100652,0.3989393115224715,STAY,NO,0.0
C100659,0.5753006867012338,LEAVE,YES,89.0
C100663,0.7320300271737643,LEAVE,YES,78.5
C100667,0.7398353694352402,LEAVE,YES,99.0
C100669,0.397675986301092,STAY,NO,0.0
C100675,0.851193159067791,LEAVE,YES,126.0
C100679,0.8212445940997832,LEAVE,YES,84.0
C100684,0.6728034536007148,LEAVE,YES,84.5
C100687,0.8786414772798101,LEAVE,YES,65.5
C100688,0.47977753785068206,STAY,NO,0.0
C100708,0.7436752282146856,LEAVE,YES,91.5
C100711,0.26501298136347434,STAY,NO,0.0
C100713,0.9161892521046032,LEAVE,YES,66.0
C100714,0.8167987514423114,LEAVE,YES,62.0
C100730,0.8137428477163628,LEAVE,YES,60.0
C100731,0.34766849188941296,STAY,NO,0.0
C100733,0.9242406004042529,LEAVE,YES,90.5
C100736,0.8641496546446791,LEAVE,YES,52.0
C100737,0.8546094514036171,LEAVE,YES,49.5
C100748,0.19388781792935006,STAY,NO,0.0
C100756,0.295189223576679,STAY,NO,0.0
C100761,0.2675860983763559,STAY,NO,0.0
C100765,0.6028889814916791,LEAVE,YES,58.5
C100766,0.7087423772145355,LEAVE,YES,71.0
C100775,0.7622457974373082,LEAVE,YES,130.5
C100782,0.2740149089597286,STAY,NO,0.0
C100785,0.27258055830200306,STAY,NO,0.0
C100793,0.8279328456426587,LEAVE,YES,72.5
C100794,0.708467648529927,LEAVE,YES,76.5
C100795,0.3582961733213865,STAY,NO,0.0
C100802,0.41428622344191673,STAY,NO,0.0
C100806,0.2635568854309794,STAY,NO,0.0
C100814,0.7398182749480934,LEAVE,YES,48.0
C100817,0.39786597600648294,STAY,NO,0.0
C100818,0.8014559032848765,LEAVE,YES,85.5
C100826,0.910870916010514,LEAVE,YES,69.5
C100833,0.25772304321313355,STAY,NO,0.0
C100835,0.6552501905856206,LEAVE,YES,78.0
C100839,0.8153476587489521,LEAVE,YES,81.5
C100840,0.363429483266824,STAY,NO,0.0
C100841,0.8929231589190683,LEAVE,YES,49.0
C100850,0.849568723236705,LEAVE,YES,79.5
C100853,0.29342456233905023,STAY,NO,0.0
C100856,0.5967971931931211,LEAVE,YES,101.5
C100858,0.46471449429145767,STAY,NO,0.0
C100861,0.9556250746578896,LEAVE,YES,73.0
C100863,0.8769235715086269,LEAVE,YES,94.0
C100864,0.6040012023245341,LEAVE,YES,84.5
C100865,0.458416880939532,STAY,NO,0.0
C100866,0.615480857238539,LEAVE,YES,48.0
C100871,0.8157758977661714,LEAVE,YES,100.0
C100874,0.5620537214069904,LEAVE,YES,97.0
C100875,0.6170904788621483,LEAVE,YES,133.0
C100876,0.7774561638137957,LEAVE,YES,48.0
C100880,0.8636378069393439,LEAVE,YES,66.0
C100881,0.7861156181606186,LEAVE,YES,115.5
C100882,0.6189929557281686,LEAVE,YES,139.0
C100894,0.4979012552153544,STAY,NO,0.0
C100903,0.7943102077494628,LEAVE,YES,59.0
C100904,0.4834135482956275,STAY,NO,0.0
C100908,0.7804367579065387,LEAVE,YES,86.0
C100914,0.6422537872057357,LEAVE,YES,98.0
C100915,0.4933916872398851,STAY,NO,0.0
C100916,0.7887295365296179,LEAVE,YES,95.5
C100918,0.4557325385845348,STAY,NO,0.0
C100919,0.5951853733600942,LEAVE,YES,84.0
C100920,0.7523228679727277,LEAVE,YES,77.5
C100922,0.9228076071636555,LEAVE,YES,52.0
C100926,0.39741880288529546,STAY,NO,0.0
C100936,0.33986895481560847,STAY,NO,0.0
C100937,0.6764445442191425,LEAVE,YES,81.5
C100938,0.8231465014588574,LEAVE,YES,118.0
C100943,0.4913329060382207,STAY,NO,0.0
C100945,0.5405923332425279,LEAVE,YES,61.35818798801368
C100946,0.3563953261086352,STAY,NO,0.0
C100950,0.2608757029411616,STAY,NO,0.0
C100951,0.36325590313455064,STAY,NO,0.0
C100964,0.27757734264308975,STAY,NO,0.0
C100968,0.28335299698585625,STAY,NO,0.0
C100973,0.1565079667637411,STAY,NO,0.0
C100981,0.6903803048111193,LEAVE,YES,89.0
C100987,0.6317866914620336,LEAVE,YES,54.0
C100989,0.1600981263548598,STAY,NO,0.0
C100994,0.7689336223362451,LEAVE,YES,48.5
C100997,0.8781838959736552,LEAVE,YES,63.5
C101007,0.7557624920389174,LEAVE,YES,101.0
C101008,0.8716716250249449,LEAVE,YES,45.0
C101019,0.898365516630324,LEAVE,YES,43.5
C101027,0.8438951192185625,LEAVE,YES,98.0
C101036,0.8431180341961091,LEAVE,YES,61.5
C101041,0.7424298558671615,LEAVE,YES,74.5
C101042,0.40958858347181826,STAY,NO,0.0
C101046,0.6461713679411709,LEAVE,YES,104.0
C101048,0.7615233328357238,LEAVE,YES,78.0
C101051,0.3484080730746958,STAY,NO,0.0
C101053,0.7077018837923283,LEAVE,YES,55.5
C101057,0.7903863254110225,LEAVE,YES,119.0
C101063,0.8114171008947182,LEAVE,YES,40.0
C101069,0.9355252334312002,LEAVE,YES,95.5
C101079,0.6684148615964195,LEAVE,YES,97.0
C101080,0.840569858410407,LEAVE,YES,72.0
C101088,0.5398859852874286,LEAVE,YES,141.0
C101089,0.5405556063381657,LEAVE,YES,51.08278351621272
C101090,0.7425120001149024,LEAVE,YES,50.5
C101091,0.6607520391583431,LEAVE,YES,44.0
C101101,0.5998013871533007,LEAVE,YES,72.5
C101102,0.5978281054173578,LEAVE,YES,73.5
C101104,0.4704300868870372,STAY,NO,0.0
C101111,0.741568462238799,LEAVE,YES,194.0
C101119,0.5205921447189941,LEAVE,YES,89.43309964132787
C101123,0.7659205298594725,LEAVE,YES,56.5
C101124,0.9829495116311013,LEAVE,YES,92.5
C101126,0.8216147824942537,LEAVE,YES,80.5
C101127,0.7575238174876054,LEAVE,YES,77.0
C101128,0.6322888079295981,LEAVE,YES,68.0
C101136,0.3303112951319018,STAY,NO,0.0
C101138,0.3968865199732233,STAY,NO,0.0
C101140,0.5313047678751402,LEAVE,YES,50.03743876989085
C101142,0.7533513280418409,LEAVE,YES,87.5
C101143,0.7712780752255699,LEAVE,YES,82.5
C101145,0.6889756668083632,LEAVE,YES,132.5
C101146,0.4904811392883261,STAY,NO,0.0
C101154,0.5450445637741099,LEAVE,YES,113.5
C101155,0.5522692361106983,LEAVE,YES,68.42223152771916
C101164,0.6272909616638852,LEAVE,YES,87.5
C101170,0.3927502742935669,STAY,NO,0.0
C101174,0.6017784678311855,LEAVE,YES,60.0
C101176,0.7389531773309801,LEAVE,YES,73.0
C101177,0.260580218151004,STAY,NO,0.0
C101181,0.8864921968737537,LEAVE,YES,67.5
C101187,0.8672701090666051,LEAVE,YES,71.0
C101193,0.6229344853144275,LEAVE,YES,55.5
C101196,0.8474923953350545,LEAVE,YES,60.5
C101200,0.9115314542657841,LEAVE,YES,119.5
C101203,0.1546053659618018,STAY,NO,0.0
C101206,0.2948444773185948,STAY,NO,0.0
C101213,0.4957418470269095,STAY,NO,0.0
C101218,0.7331797852653389,LEAVE,YES,81.0
C101220,0.6800555865866121,LEAVE,YES,66.5
C101221,0.43761886170931497,STAY,NO,0.0
C101228,0.4312932861635288,STAY,NO,0.0
C101239,0.32067903483918964,STAY,NO,0.0
C101253,0.7005397136862631,LEAVE,YES,57.0
C101255,0.8162664299986416,LEAVE,YES,93.0
C101256,0.8665980435754733,LEAVE,YES,72.0
C101258,0.843227166337764,LEAVE,YES,95.5
C101264,0.23733364485669223,STAY,NO,0.0
C101269,0.8798818565905903,LEAVE,YES,116.0
C101274,0.5923610450044771,LEAVE,YES,61.0
C101279,0.6760871771327074,LEAVE,YES,87.5
C101281,0.7607660410547705,LEAVE,YES,72.0
C101286,0.5378484680742015,LEAVE,YES,93.80475433832089
C101287,0.6209009375211159,LEAVE,YES,90.0
C101289,0.8216024058293404,LEAVE,YES,121.5
C101290,0.44935105269211845,STAY,NO,0.0
C101300,0.5809905142770255,LEAVE,YES,61.461833256074144
C101304,0.9587881145316277,LEAVE,YES,59.0
C101309,0.7953547261983123,LEAVE,YES,97.5
C101327,0.4196291917615296,STAY,NO,0.0
C101335,0.27649452388580725,STAY,NO,0.0
C101336,0.48488677249665296,STAY,NO,0.0
C101338,0.55992242800086,LEAVE,YES,58.87045864410578
C101349,0.7029253910987524,LEAVE,YES,94.0
C101351,0.5116286901101652,LEAVE,YES,78.00013469894841
C101352,0.45238054994072086,STAY,NO,0.0
C101353,0.7532149190410965,LEAVE,YES,64.0
C101356,0.9045495452825992,LEAVE,YES,56.5
C101359,0.5839220185696179,LEAVE,YES,64.0
C101360,0.5898386792525416,LEAVE,YES,104.5
C101368,0.5631109086267674,LEAVE,YES,53.06842176619794
C101370,0.424293458467901,STAY,NO,0.0
C101372,0.3115142527131291,STAY,NO,0.0
C101374,0.86142534300319,LEAVE,YES,64.0
C101375,0.7993164469636532,LEAVE,YES,74.5
C101376,0.6994222123483362,LEAVE,YES,81.5
C101379,0.8720743613759653,LEAVE,YES,53.0
C101380,0.42009237577570036,STAY,NO,0.0
C101384,0.52847335815446,LEAVE,YES,100.97940521243659
C101386,0.4959925783870472,STAY,NO,0.0
C101389,0.5806325543142017,LEAVE,YES,75.0
C101391,0.3337181051024761,STAY,NO,0.0
C101393,0.5434264784006769,LEAVE,YES,63.36257458409139
C101395,0.16857231756543006,STAY,NO,0.0
C101403,0.30430710858917936,STAY,NO,0.0
C101404,0.35701728360479446,STAY,NO,0.0
C101406,0.6911347286563679,LEAVE,YES,93.5
C101410,0.4301527153764874,STAY,NO,0.0
C101412,0.8386677666202073,LEAVE,YES,50.5
C101416,0.9480355375227014,LEAVE,YES,74.0
C101432,0.7414859004599166,LEAVE,YES,105.5
C101437,0.637730954745037,LEAVE,YES,112.5
C101439,0.8784442025181312,LEAVE,YES,96.0
C101443,0.1842532752571622,STAY,NO,0.0
C101445,0.8201419256924511,LEAVE,YES,124.0
C101446,0.41467065694387983,STAY,NO,0.0
C101449,0.49523710153793243,STAY,NO,0.0
C101450,0.629128572009251,LEAVE,YES,48.0
C101451,0.9745901811321452,LEAVE,YES,93.0
C101457,0.7667861813936451,LEAVE,YES,73.5
C101459,0.6996704628258037,LEAVE,YES,114.0
C101460,0.8247101316996058,LEAVE,YES,139.0
C101462,0.49270162657328115,STAY,NO,0.0
C101469,0.7076015154807138,LEAVE,YES,74.5
C101473,0.22349364743812908,STAY,NO,0.0
C101474,0.49786348771514916,STAY,NO,0.0
C101479,0.3959057007161912,STAY,NO,0.0
C101485,0.9468244166340636,LEAVE,YES,105.5
C101501,0.7984755513629603,LEAVE,YES,74.0
C101503,0.8054756417704818,LEAVE,YES,95.5
C101516,0.808180333992552,LEAVE,YES,62.0
C101524,0.5488208305153062,LEAVE,YES,98.11770361151531
C101528,0.601236349710043,LEAVE,YES,58.0
C101532,0.7320840920896602,LEAVE,YES,49.0
C101534,0.38101045312217097,STAY,NO,0.0
C101535,0.5668976843780935,LEAVE,YES,76.5
C101538,0.3022494219093109,STAY,NO,0.0
C101546,0.8383978665570809,LEAVE,YES,98.0
C101549,0.6290797238440984,LEAVE,YES,101.0
C101551,0.278202164226884,STAY,NO,0.0
C101559,0.8512400681909341,LEAVE,YES,87.0
C101562,0.8787351364928067,LEAVE,YES,63.0
C101563,0.8575528004609352,LEAVE,YES,46.5
C101565,0.35014084473588275,STAY,NO,0.0
C101566,0.8036406176210374,LEAVE,YES,94.5
C101567,0.6185806975407128,LEAVE,YES,46.5
C101573,0.9031579825814476,LEAVE,YES,77.0
C101576,0.616086777642862,LEAVE,YES,79.5
C101577,0.6244073235986453,LEAVE,YES,97.5
C101579,0.8182104938617891,LEAVE,YES,77.0
C101585,0.7291456540617527,LEAVE,YES,36.5
C101589,0.7064400335643605,LEAVE,YES,97.0
C101590,0.8034014029928684,LEAVE,YES,131.5
C101592,0.7328619421397282,LEAVE,YES,47.5
C101595,0.42025585289429007,STAY,NO,0.0
C101603,0.6274678791497305,LEAVE,YES,66.5
C101605,0.2354192168202027,STAY,NO,0.0
C101606,0.8119759294015233,LEAVE,YES,94.0
C101611,0.7779659577808465,LEAVE,YES,45.0
C101614,0.7964782076968279,LEAVE,YES,132.0
C101615,0.6627439841901787,LEAVE,YES,77.5
C101623,0.6274678791497305,LEAVE,YES,62.5
C101624,0.5775613260500774,LEAVE,YES,63.35028840835983
C101625,0.5145569523598881,LEAVE,YES,31.164556188791046
C101631,0.8646143577172232,LEAVE,YES,59.5
C101634,0.3286401355806865,STAY,NO,0.0
C101635,0.6498936566758958,LEAVE,YES,79.5
C101636,0.21709207096478092,STAY,NO,0.0
C101649,0.7552811623806457,LEAVE,YES,80.5
C101650,0.4854244283635104,STAY,NO,0.0
C101661,0.8431001129443136,LEAVE,YES,60.0
C101665,0.7137811339638849,LEAVE,YES,78.0
C101673,0.906159315917639,LEAVE,YES,116.0
C101674,0.8157916797714481,LEAVE,YES,51.0
C101679,0.6457536460613841,LEAVE,YES,68.0
C101680,0.8244597775729783,LEAVE,YES,93.5
C101685,0.9357795780669834,LEAVE,YES,107.0
C101698,0.8144501021587767,LEAVE,YES,113.0
C101701,0.7504159395231526,LEAVE,YES,104.5
C101702,0.4530917165237333,STAY,NO,0.0
C101703,0.7454971552774132,LEAVE,YES,82.0
C101705,0.49748221665771025,STAY,NO,0.0
C101708,0.869058174750536,LEAVE,YES,114.0
C101709,0.7726100312312947,LEAVE,YES,88.0
C101712,0.8745419917646227,LEAVE,YES,81.0
C101714,0.4462077693579589,STAY,NO,0.0
C101718,0.4476177611789851,STAY,NO,0.0
C101722,0.5988428503282835,LEAVE,YES,58.5
C101726,0.8491477655447879,LEAVE,YES,118.5
C101727,0.3165566022315148,STAY,NO,0.0
C101728,0.6580442647362035,LEAVE,YES,109.5
C101733,0.6073007472836255,LEAVE,YES,50.5
C101738,0.6272883604075986,LEAVE,YES,36.4193386701623
C101744,0.4603260074473584,STAY,NO,0.0
C101747,0.44697244409316195,STAY,NO,0.0
C101752,0.7928014957831512,LEAVE,YES,77.0
C101753,0.9128836537979712,LEAVE,YES,99.0
C101754,0.5993125968272439,LEAVE,YES,74.5
C101756,0.8553588998530781,LEAVE,YES,67.5
C101757,0.91118740027704,LEAVE,YES,52.0
C101766,0.26868644395836816,STAY,NO,0.0
C101771,0.7870731561648685,LEAVE,YES,34.0
C101780,0.1871133520431313,STAY,NO,0.0
C101787,0.7487869211010716,LEAVE,YES,75.0
C101791,0.49391142092645995,STAY,NO,0.0
C101792,0.8272618030125531,LEAVE,YES,67.0
C101793,0.45717733454159004,STAY,NO,0.0
C101797,0.7878391480005158,LEAVE,YES,150.0
C101798,0.9090357956535413,LEAVE,YES,101.5
C101805,0.7554625150120337,LEAVE,YES,114.5
C101806,0.9002710214312093,LEAVE,YES,93.5
C101808,0.5098639006282418,LEAVE,YES,88.40373282125067
C101810,0.8207115809963028,LEAVE,YES,81.0
C101814,0.5987571081618173,LEAVE,YES,100.0
C101829,0.6635252939956385,LEAVE,YES,67.0
C101838,0.6585162583315026,LEAVE,YES,54.5
C101839,0.7225840608745939,LEAVE,YES,94.0
C101843,0.5989639086625701,LEAVE,YES,50.49535477491958
C101852,0.8197452747582432,LEAVE,YES,91.5
C101858,0.8922741904815454,LEAVE,YES,54.5
C101859,0.3320212524692644,STAY,NO,0.0
C101861,0.09864519335493815,STAY,NO,0.0
C101864,0.5132146901709322,LEAVE,YES,91.10329396367365
C101867,0.34790425904567723,STAY,NO,0.0
C101872,0.9390090569128076,LEAVE,YES,69.0
C101877,0.7473962028022897,LEAVE,YES,81.5
C101879,0.44795931802141103,STAY,NO,0.0
C101880,0.4991347787940767,STAY,NO,0.0
C101885,0.2542026764001522,STAY,NO,0.0
C101887,0.7636536129026543,LEAVE,YES,78.0
C101891,0.7097437825486856,LEAVE,YES,67.5
C101892,0.3762978992139035,STAY,NO,0.0
C101896,0.8511853016059838,LEAVE,YES,80.0
C101898,0.9772943188893977,LEAVE,YES,61.5
C101901,0.8542338368702256,LEAVE,YES,41.5
C101903,0.8723947223451866,LEAVE,YES,58.5
C101904,0.928834637344214,LEAVE,YES,64.5
C101908,0.8033826852700641,LEAVE,YES,71.5
C101910,0.27739416249677795,STAY,NO,0.0
C101914,0.4137256368489874,STAY,NO,0.0
C101917,0.34108321066346514,STAY,NO,0.0
C101918,0.7873462608709522,LEAVE,YES,34.0
C101920,0.8704724465784611,LEAVE,YES,71.5
C101927,0.8222214400876632,LEAVE,YES,79.5
C101932,0.652532431095795,LEAVE,YES,65.0
C101936,0.7717479020860413,LEAVE,YES,74.5
C101938,0.49786348771514916,STAY,NO,0.0
C101940,0.7058628722438802,LEAVE,YES,74.0
C101953,0.36121052879729215,STAY,NO,0.0
C101954,0.7154947511736741,LEAVE,YES,58.0
C101956,0.37230516368118005,STAY,NO,0.0
C101968,0.978116769023843,LEAVE,YES,74.5
C101982,0.4228907392634377,STAY,NO,0.0
C101983,0.40212441054599274,STAY,NO,0.0
C101991,0.5094776850773408,LEAVE,YES,63.36478665113708
C101997,0.3163304947578683,STAY,NO,0.0
C101998,0.49928110666656017,STAY,NO,0.0
C101999,0.32508691947519813,STAY,NO,0.0
C102003,0.44260280248138023,STAY,NO,0.0
C102004,0.7861432872205951,LEAVE,YES,95.5
C102009,0.5477828148644488,LEAVE,YES,44.23049867158043
C102014,0.7243901200129602,LEAVE,YES,96.0
C102017,0.9265739836713057,LEAVE,YES,107.5
C102019,0.3207430722767378,STAY,NO,0.0
C102035,0.7922335147766069,LEAVE,YES,60.0
C102036,0.34365317905309634,STAY,NO,0.0
C102038,0.8237641839216358,LEAVE,YES,46.0
C102040,0.6433952340477154,LEAVE,YES,48.0
C102041,0.7957458358298534,LEAVE,YES,76.0
C102042,0.6543341632818656,LEAVE,YES,119.0
C102049,0.5452564927916235,LEAVE,YES,67.97167846920216
C102050,0.6343135762237317,LEAVE,YES,69.0
C102051,0.5571005492932701,LEAVE,YES,46.824256027913556
C102054,0.5213447956727274,LEAVE,YES,71.32978812494548
C102055,0.9124858719934629,LEAVE,YES,87.5
C102058,0.7473013885187191,LEAVE,YES,85.5
C102063,0.26781644467635674,STAY,NO,0.0
C102066,0.7837406426981601,LEAVE,YES,74.0
C102069,0.523791072089475,LEAVE,YES,60.18800365998965
C102075,0.7927844268126201,LEAVE,YES,109.0
C102076,0.8656037289296235,LEAVE,YES,55.0
C102083,0.8684446230007702,LEAVE,YES,93.5
C102090,0.898409063555884,LEAVE,YES,104.5
C102098,0.48191402172622744,STAY,NO,0.0
C102099,0.6120121107074663,LEAVE,YES,60.0
C102102,0.5936637932086677,LEAVE,YES,66.5
C102111,0.2766685050716523,STAY,NO,0.0
C102120,0.6066128049277625,LEAVE,YES,72.0
C102128,0.6357431737810769,LEAVE,YES,64.5
C102130,0.884533960294394,LEAVE,YES,55.0
C102133,0.7818818918732655,LEAVE,YES,73.0
C102135,0.9085862661337286,LEAVE,YES,68.5
